"licensee_name","doing_business_as","license_number","license_type","expiration","street_address","city","state","zip"
"CURIEL-3, LLC","RIO BRAVO","03-10421","Hotel & Restaurant (city)","2019-08-21","1544 OXBOW DRIVE SUITE 198","Montrose","CO",81401
"INTRINZIK LLC","INTRINZIK","03-08251","Lodging & Entertainment (City)","2019-07-06","512 EAST MAIN STREET","Montrose","CO",81401
"ALL FOR ONE LLC","THE STONE HOUSE","03-10867","Hotel & Restaurant (city)","2019-11-28","1415 HAWK PARKWAY","Montrose","CO",81401
"JONES IN 4 PLAY LLC","RIB CITY GRILL MONTROSE","42-30208-0000","Beer & Wine (city)","2019-04-26","1521 OXBOW DRIVE  A-1","Montrose","CO",81401
"PESTER MARKETING COMPANY","ALTA #6126","04-00932","Fermented Malt Beverage Off (city)","2019-12-10","938 SOUTH TOWNSEND AVENUE","Montrose","CO",81401
"LAJOY ENTERPRISES INC","HOUSE OF SPIRITS MONTROSE","03-05148","Liquor Store (city)","2019-09-07","1518 EAST MAIN STREET","Montrose","CO",81401
"PARISH OIL CO INC","PHILLIPS 66 FOOD PLAZA","04-49021-0004","Fermented Malt Beverage Off (city)","2019-08-03","1301 MAIN ST","Montrose","CO",814015822
"NIKO INC","NIKO'S TAVERN","05-48990-0000","Tavern (city)","2020-03-13","303 MAIN ST","Montrose","CO",81401
"COLONA CORPORATION","ROSE BOWL","42-11862-0000","Tavern (city)","2019-09-15","90 ROSE LANE","Montrose","CO",814013818
"HORSEFLY BREWING COMPANY LLC","AIRFLY TOO","03-05018","Hotel & Restaurant (city)","2020-01-05","2100 AIRPORT ROAD UNIT A","Montrose","CO",81401
"COBBLE CREEK CLUBHOUSE PARTNERS LLC","COBBLE CREEK CLUBHOUSE PARTNERS","25-47227-0000","Hotel & Restaurant / Optional (city)","2019-07-10","699 COBBLE DR","Montrose","CO",814037813
"HIGH MESA SPIRITS, LLC","STORM KING DISTILLING CO.","03-10343","Wholesale (vinous & spirituous)","2019-11-13","41 WEST MAIN STREET","Montrose","CO",81401
"CAFE KRANZLER LLC","GINGER & GIN","03-08885","Hotel & Restaurant (city)","2019-11-16","647 EAST MAIN STREET","Montrose","CO",81401
"BRINKER RESTAURANT CORPORATION","CHILI'S GRILL & BAR","10-82383-0053","Hotel & Restaurant (city)","2020-02-19","1431 OGDEN RD","Montrose","CO",814015692
"MONTROSE COUNTY","MONTROSE COUNTY EVENT CENTER","03-09744","Lodging & Entertainment (County)","2019-04-09","1036 NORTH 7TH STREET","Montrose","CO",81401
"HILD'S FINE WINES LTD","CORKS FINE WINES & SPIRITS","09-92787-0000","Liquor Store (city)","2019-11-16","16420 S TOWNSEND","MONTROSE","CO",814015404
"TRIEU AND THAN INC","POUR HOUSE","03-05854","Liquor Store (city)","2020-01-25","10 BRISTLECONE DRIVE","Montrose","CO",81401
"DILLON COMPANIES LLC","CITY MARKET #3","01-10779-0122","Fermented Malt Beverage Off (city)","2019-10-02","128 S TOWNSEND","Montrose","CO",814013956
"VIVA! MEXICO LLC","VIVA! MEXICO","03-02075","Hotel & Restaurant (city)","2019-10-16","82 ROSE LN","Montrose","CO",81401
"PLATEAU ENTERPRISES LLC","BOTTLE BARN LIQUORS","42-09812-0000","Liquor Store (city)","2019-08-01","120 N TOWNSEND AVENUE","MONTROSE","CO",814013760
"PAHGRE'S ITALIAN RESTAURANT, LLC","PAHGRE'S ITALIAN RESTAURANT","03-06837","Hotel & Restaurant (city)","2019-08-22","1541 OXBOW DRIVE UNIT 1800","Montrose","CO",81401
"AMELIAS HACIENDA RESTAURANTE LLC","AMELIA'S HACIENDA RESTAURANTE","28-68019-0000","Hotel & Restaurant (city)","2019-06-20","44 S GRAND AVE","MONTROSE","CO",814013438
"DILLON COMPANIES LLC","CITY MARKET #40","01-10779-0152","Fermented Malt Beverage Off (city)","2019-10-02","16400 S TOWNSEND","Montrose","CO",81401
"CAMP ROBBER LLC","CAMP ROBBER","23-17952-0000","Hotel & Restaurant (city)","2019-03-18","1515 OGDEN ROAD","Montrose","CO",814015683
"HIGH COUNTRY BEVERAGE CORP","HIGH COUNTRY BEVERAGE CORP","04-00050","Fermented Malt Beverage Wholesale","2019-10-28","3332 NORTH TOWNSEND","Montrose","CO",81401
"JARRITO LOCO, INC.","JARRITO LOCO, INC.","03-09999","Hotel & Restaurant (city)","2019-06-18","582 WEST HIGHWAY 105","Monument","CO",80132
"CHYNNA MOON INC","JACKSON CREEK CHINESE RESTAURANT","03-07302","Hotel & Restaurant (city)","2019-12-07","1054 WEST BAPTIST ROAD","Monument","CO",80132
"CIRCLE K STORES INC","CIRCLE K STORE  #2709841","21-65089-0090","Fermented Malt Beverage Off (city)","2019-10-28","1190 W BAPTIST RD","Monument","CO",80132
"DILLON COMPANIES LLC","KING SOOPERS #77","01-10779-0112","Fermented Malt Beverage Off (city)","2019-11-24","1070 W BAPTIST RD","Monument","CO",80132
"EAGLE VENTURES II INC","EAGLE WINE & SPIRITS","12-42800-0000","Liquor Store (city)","2019-08-10","1060 BAPTIST RD","Monument","CO",80132
"PILOT TRAVEL CENTERS LLC","PILOT TRAVEL CENTER #1110","04-00814","Fermented Malt Beverage Off (city)","2019-07-05","15455 TERRAZZO DRIVE","Monument","CO",80132
"QUIK-WAY RETAIL ASSOCIATES II LTD","FAST MARKET 8156","04-00654","Fermented Malt Beverage Off (city)","2019-11-06","1310 WEST BAPTIST ROAD","Monument","CO",80132
"FUJI MOUNTAIN JAPANESE CUISINE INC","FUJI MOUNTAIN JAPANESE CUISINE","42-99418-0000","Hotel & Restaurant (city)","2020-03-19","16064 JACKSON CREEK PARKWAY","Monument","CO",801328657
"COLORADO BREWERS GROUP LLC","PIKES PEAK BREWING COMPANY","42-89543-0000","Brew Pub (county)","2019-05-09","1756 LAKE WOODMOOR DR","Monument","CO",801329074
"LOOP LIQUOR LLC","LOOP LIQUOR LLC","03-03468","Liquor Store (city)","2019-09-09","1430 CIPRIANI LOOP","Monument","CO",80132
"WALMART INC.","WAL-MART #3227","09-49518-0084","Fermented Malt Beverage Off (city)","2019-08-07","16218 JACKSON CREEK PKWY","Monument","CO",801327181
"OM SHIVA INC","CURRY KITCHEN INDIAN & NEPALESE CUISINE & BAR","03-10073","Hotel & Restaurant (county)","2019-06-17","1865 WOODMOOR DRIVE","Monument","CO",80132
"JASMINE GARDEN INC","JASMINE GARDEN","42-28732-0000","Hotel & Restaurant (city)","2020-04-11","1425 CIPRIANI LOOP","Monument","CO",80132
"MURPHY OIL USA INC","MURPHY EXPRESS","04-00498","Fermented Malt Beverage Off (city)","2019-05-17","15931 JACKSON CREEK PKWY","Monument","CO",80132
"SAIRA, INC. & 7-ELEVEN, INC.","7-ELEVEN STORE 37278A","04-00532","Fermented Malt Beverage Off (city)","2019-09-08","990 WEST BAPTIST ROAD","Monument","CO",80132
"D & K LI, INC.","COLUMBINE GARDENS","03-05200","Hotel & Restaurant (city)","2019-10-06","481 HIGHWAY 105, UNIT 201","Monument","CO",80132
"RJENSEN, LLC","BROKEN BONES SMOKIN' PIT","03-04560","Beer & Wine (city)","2019-04-22","481 HIGHWAY 105, UNIT G","Monument","CO",80132
"3 AGAVEROS LLC","DON TEQUILA MEXICAN GRILL & CANTINA","03-08166","Hotel & Restaurant (city)","2019-06-22","15910 JACKSON CREEK PKWY SUITES 100 & 110","Monument","CO",80132
"BACK EAST BAR & GRILLMONUMENT INC","BACK EAST BAR & GRILL","03-02904","Hotel & Restaurant (city)","2019-05-29","1455 CIPRIANI LOOP","Monument","CO",80132
"STAMP ENTERPRISES INC","WINE SELLER THE","40-31618-0000","Liquor Store (county)","2019-06-05","2805 ROBERTS DR SUITE A","Monument","CO",801327926
"COLORADO MEX PP INC","3 MARGARITAS XXI","42-41982-0000","Hotel & Restaurant (county)","2019-04-23","1749 LAKE WOODMOOR DR","Monument","CO",801329074
"TEXAS ROADHOUSE HOLDINGS LLC","TEXAS ROADHOUSE","14-34930-0014","Hotel & Restaurant (city)","2019-10-23","16196 JACKSON CREEK PKWY","Monument","CO",80132
"IT'S MONUMENTAL INC","CORK'N BOTTLE","42-05889-0000","Liquor Store (city)","2019-06-27","351 HIGHWAY 105","Monument","CO",801329126
"KUM & GO LC","KUM & GO # 650","04-00066","Fermented Malt Beverage Off (city)","2019-12-19","17970 KNOLLWOOD DR","Monument","CO",80132
"LINDY GERARD DESIGNS LLC","BELLA CASA","42-48689-0000","Art Gallery Permit","2019-06-14","155 SECOND ST","Monument","CO",80132
"DILLON COMPANIES LLC","KRISTIN LYNNE MIKEC","03-10971","Manager Permit (LLDS)","2020-02-11","17011 BLUE MIST GROVE","Monument","CO",80132
"LA CASA FIESTA INC","LA CASA FIESTA RESTAURANT","42-47744-0000","Hotel & Restaurant (city)","2019-08-14","230 FRONT ST.","Monument","CO",801329136
"BRINKER RESTAURANT CORPORATION","CHILI'S GRILL & BAR","10-82383-0061","Hotel & Restaurant (city)","2020-02-21","15898 JACKSON CREEK PKWY","Monument","CO",80132
"THE ICE CAVE CIDER HOUSE LLC","THE ICE CAVE CIDER HOUSE","03-04687","Limited Winery","2019-07-15","174 NORTH WASHINGTON ST STE C","Monument","CO",80132
"APRO LLC","MY GOODS MARKET #6507","04-00362","Fermented Malt Beverage Off (city)","2019-10-18","534 STATE HWY 105","Monument","CO",80132
"ROGERS INN THE PINES LLC","ROGERS INN THE PINES","41-16485-0000","Bed & Breakfast Permit","2019-08-07","18750 ROGERS PINE GROVE","Monument","CO",80132
"LEE SPIRITS COMPANY INC","LEE SPIRITS COMPANY INC","03-04251","Wholesale (vinous & spirituous)","2020-03-12","303 WEST HIGHWAY105","Monument","CO",80132
"WOODMOOR MANAGEMENT CORP","THE COUNTRY CLUB AT WOODMOOR","03-05728","Hotel & Restaurant / Optional (county)","2020-01-03","18945 PEBBLE BEACH WAY","Monument","CO",80132
"LEE SPIRITS COMPANY INC","LEE SPIRITS COMPANY INC","03-04252","Manufacturer (distillery & rectifier)","2020-03-04","303 WEST HIGHWAY 105","Monument","CO",80132
"3 HUNDRED LLC","3 HUNDRED DAYS DISTILLING","03-03179","Wholesale (vinous & spirituous)","2019-07-13","279 BEACON LITE RD","Monument","CO",80132
"COLORADO BREWERS GROUP LLC","PIKES PEAK BREWING COMPANY","03-02262","Alternating Proprietor Premises",NULL,"1756 LAKE WOODMOOR DR","Monument","CO",80132
"SAFEWAY STORES 45 INC","SAFEWAY STORE NO1440","21-70663-0069","Fermented Malt Beverage Off (city)","2019-09-26","624 HWY 105","Monument","CO",801329125
"MODERN SUNSHINE LIQUORS LLC","TRI-LAKES LIQUOR","03-05569","Liquor Store (city)","2019-11-30","586 HIGHWAY 105","Monument","CO",80132
"3 HUNDRED LLC","3 HUNDRED DAYS DISTILLING","03-03188","Manufacturer (distillery & rectifier)","2019-07-13","279 BEACON LITE RD","Monument","CO",80132
"XIN CHEN CORPORATION","I FISH SUSHI & ASIAN CUISINE","03-03673","Hotel & Restaurant (city)","2019-12-16","562 W HIGHWAY 105","Monument","CO",80132
"ARLENE'S BEANS LLC","ARLENE'S BEANS","03-09321","Hotel & Restaurant (city)","2019-06-05","366 SECOND STREET SUITE D","Monument","CO",80132
"GURMEHAR, INC. & 7-ELEVEN, INC.","7-ELEVEN STORE 20308B","04-00856","Fermented Malt Beverage Off (city)","2019-08-07","283 HIGHWAY 105","Monument","CO",80132
"BISTRO 2, LLC","THE BISTRO ON 2ND","03-06902","Hotel & Restaurant (city)","2019-09-06","65 SECOND STREET","Monument","CO",80132
"SECWIN LLC","SECRET WINDOW FINE ART GALLERY & FLORAL","42-67651-0000","Beer & Wine (city)","2020-03-31","47 THIRD STREET","Monument","CO",80132
"LEXINGTON INC","MONUMENT LIQUOR MART","40-99581-0000","Liquor Store (city)","2019-10-01","15756 JACKSON CREEK PKWY","Monument","CO",801327183
"KINGS DEER, LLC","KINGS DEER GOLF CLUB","03-06644","Hotel & Restaurant / Optional (county)","2019-07-17","19255 ROYAL TROON DRIVE","Monument","CO",80132
"DRT INVESTMENTS LLC","FRUIT OF THE VINE SPIRITS & WINE","42-01561-0000","Liquor Store (county)","2019-06-16","19423 N TURKEY CREEK ROAD STE R","Morrison","CO",804658902
"WALGREEN CO","STEVEN LEE HIGGINBOTHAM","03-09069","Manager Permit (LLDS)","2019-05-09","4544 SOUTH ZANG STREET","Morrison","CO",80465
"MARG PARTNERS LLC","THE MORRISON INN","03-04593","Hotel & Restaurant (city)","2019-08-17","301 BEAR CREEK AVENUE","Morrison","CO",80465
"TONY RIGATONI'S INC","TONY RIGATONI'S PIZZA & PASTA & VINNY'S BAR","15-03869-0000","Hotel & Restaurant (city)","2019-11-29","215 BEAR CREEK AVE","Morrison","CO",80465
"BRIGGS GARRY LEE","MORRISON LIQUORS","02-57823-0000","Liquor Store (city)","2020-01-03","505 BEAR CREEK AVE","Morrison","CO",80465
"CIONETTI ENTERPRISES, INC","CAFE PRAGUE","03-07280","Hotel & Restaurant (city)","2019-12-06","209 BEAR CREEK AVENUE","Morrison","CO",80465
"G.A.C.T. ENTERPRISES LLC","COUNTRY KITCHEN","03-11055","Hotel & Restaurant (city)","2020-02-26","408 BEAR CREEK AVENUE","Morrison","CO",80465
"BESO DE ARTE INC","BESO DE ARTE","26-65778-0000","Hotel & Restaurant (city)","2020-02-20","102 MARKET STREET","Morrison","CO",80465
"BANDIMERE CONCESSIONS INC","BANDIMERE CONCESSIONS INC","24-40772-0000","Optional Premises (county)","2019-05-19","3051 S ROONEY RD","Morrison","CO",80465
"CST METRO INC","CIRCLE K #2741179","21-79919-0158","Fermented Malt Beverage Off (county)","2019-08-12","14011 W QUINCY UNIT A","Morrison","CO",804659336
"TPDN LLC","5281","03-06341","Hotel & Restaurant (county)","2019-04-14","14011 WEST QUINCY AVENUE SUITE G","Morrison","CO",80465
"FORT LLC THE","FORT RESTAURANT THE","07-63367-0000","Hotel & Restaurant (county)","2019-10-01","19192 HWY 8","Morrison","CO",804658731
"TWIN FORKS TAVERN, LLC","TWIN FORKS TAVERN","03-03734","Hotel & Restaurant (county)","2019-12-03","19423 NORTH TURKEY CREEK ROAD, SUITES O, P, Q","Morrison","CO",80465
"STINKER STORES CO INC","STINKER STORE #335","04-00624","Fermented Malt Beverage Off (city)","2019-09-13","308 BEAR CREEK AVENUE","Morrison","CO",80465
"MORRISON MARKET LLC","MY SISTERS ATTIC","03-09506","Tavern (city)","2020-02-27","108 MARKET STREET","Morrison","CO",80465
"14011 INC.","QUINCY PLAZA LIQUORS","03-01066","Liquor Store (county)","2019-05-08","14011 WEST QUINCY AVENUE, SUITE H&I","Morrison","CO",80465
"APRO, LLC","MY GOODS MARKET #6548","04-00394","Fermented Malt Beverage Off (city)","2019-09-24","16283 MORRISON ROAD","Morrison","CO",80465
"RED ROCKS BREWERY LLC","RED ROCKS BEER GARDEN","03-09404","Tavern (city)","2020-02-14","116 STONE STREET","Morrison","CO",80465
"ARAMARK SPORTS AND ENTERTAINMENT SRVCS","RED ROCKS TRADING POST","15-61301-0000","Hotel & Restaurant (county)","2019-09-16","17900 TRADING POST RD","Morrison","CO",80465
"PEBBLEROSA INC","RED ROCKS GRILL","12-57462-0000","Hotel & Restaurant (city)","2019-06-13","415 BEAR CREEK AVE","Morrison","CO",80465
"THE LIND FIVE LLC","THE COW / AN EATERY","03-04070","Hotel & Restaurant (city)","2020-02-19","316 BEAR CREEK","Morrison","CO",80465
"CARRETA VIEJA INC","CARRETA VIEJA","03-02131","Hotel & Restaurant (county)","2019-11-26","9064 S US HWY 285","Morrison","CO",80465
"WHALE ROCK COUNTRY CLUB INC","RED ROCKS COUNTRY CLUB AT WILLOW SPRGS","02-72092-0000","Hotel & Restaurant / Optional (county)","2019-08-03","16235 W BELLEVIEW AVE","Morrison","CO",804659607
"DYK INC","MORRISON HOLIDAY BAR","42-40460-0000","Tavern (city)","2019-09-05","403 BEAR CREEK AVE","Morrison","CO",80465
"ARAMARK SPORTS AND ENTERTAINMENT LLC","RED ROCKS AMPHITHEATRE & REDZ","15-61353-0000","Hotel & Restaurant (county)","2019-09-16","18300 W ALAMEDA PKWY","Morrison","CO",804658737
"SALLY CORP","GREAT SAND DUNES OASIS","07-12092-0000","Fermented Malt Beverage On (county)","2020-03-25","5400 HWY 150 N","Mosca","CO",811460000
"DELMON LLC","MOUNTAIN VIEW LIQUOR","03-10328","Liquor Store (city)","2019-08-01","4305 SHERIDAN BOULEVARD","MOUNTAIN VIEW","CO",80212
"LADY JUSTICE BREWING LLC","LADY JUSTICE BREWING","03-06551","Manufacturer (brewery)","2019-06-15","4375 EATON STREET","Mountain View","CO",80212
"LADY JUSTICE BREWING LLC","LADY JUSTICE BREWING","03-06550","Wholesale Beer (malt liquor)","2019-06-15","4375 EATON STREET","Mountain View","CO",80212
"TRACKS CAFE & BAR INC","TRACKS CAFE & BAR","15-42422-0000","Tavern (city)","2019-06-09","670 MOUNTAIN VILLAGE BLVD UNIT C1","Mountain Village","CO",814359520
"SPIRITS AT MOUNTAIN VILLAGE LLC","SPIRITS AT MOUNTAIN VILLAGE","42-40140-0000","Liquor Store (city)","2019-08-08","455 MTN VILLAGE BLVD STE B","Mountain Village","CO",814359415
"PEAKS HOTEL LLC","PEAKS RESORT & SPA","03-05262","Resort Complex (city)","2019-11-19","136 COUNTRY CLUB DRIVE","Mountain Village","CO",81435
"CAVI LLC","LA PIAZZA","25-15273-0000","Hotel & Restaurant (city)","2019-12-22","117 LOST CREEK LANE","Mountain Village","CO",81435
"LAMV SERVICE LLC","THE VIEW","07-59656-0000","Hotel & Restaurant (city)","2019-07-06","457 MOUNTAIN VILLAGE BLVD","Mountain Village","CO",814359415
"567 MANAGEMENT LLC","567 MANAGEMENT LLC","03-05043","Tavern (city)","2019-10-12","567 MOUNTAIN VILLAGE BLVD","Mountain Village","CO",81435
"TELLURIDE CONFERENCE CENTER LLC","TELLURIDE CONFERENCE CENTER","03-00972","Hotel & Restaurant (city)","2019-05-07","580 MOUNTAIN VILLAGE BLVD","Mountain Village","CO",81435
"LUMIERE HOTEL GROUP MANAGEMENT, LLC","LUMIERE HOTEL","03-10924","Hotel & Restaurant (city)","2019-12-11","118 LOST CREEK LANE","Mountain Village","CO",81435
"LET IT RIDE INC","POACHERS PUB","24-93447-0000","Tavern (city)","2019-12-22","113 LOST CREEK LANE","Mountain Village","CO",81435
"BREAD AND ROSES CATERING","THE VILLAGE TABLE","03-01124","Hotel & Restaurant (city)","2020-04-01","618 MTN. VILLAGE BLVD UNIT 101-104 MT VILLAGE 1","Mountain Village","CO",81435
"TELSKI FOOD & BEVERAGE SERVICES","TOMBOY TAVERN","40-91959-0001","Hotel & Restaurant / Optional (city)","2019-12-31","565 MOUNTAIN VILLAGE BLVD","Mountain Village","CO",814359521
"TELLURIDE RESORT OPERATOR INC","MADELINE HOTEL & RESIDENCES","03-09334","Resort Complex (city)","2020-02-12","568 MOUNTAIN VILLAGE BLVD","Mountain Village","CO",81435
"AVALANCHE BAR & GRILL INC","AVALANCHE BAR & GRILL","42-72790-0000","Hotel & Restaurant (city)","2019-07-28","433 &15 EMMONS RD","Mt Crested Butte","CO",81225
"MOUNTAIN MIRACLE INC","TREASURY LIQUORS","28-34579-0000","Liquor Store (city)","2019-07-19","611 GOTHIC RD-GARDEN CONDO'S UNIT C & D","Mt Crested Butte","CO",81225
"PEARLS CONCESSIONS LLC","NORDIC INN LLC","03-09949","Lodging & Entertainment (City)","2019-06-05","14 TREASURY ROAD","Mt Crested Butte","CO",81225
"IRON HORSE TAP LLC","IRON HORSE TAP","14-72992-0000","Hotel & Restaurant (city)","2019-06-06","11 SNOWMASS RD #35","MT CRESTED BUTTE","CO",81225
"CRESTED BUTTE LLC","BUTTE 66 BBQ ROADHOUSE","07-74205-0003","Hotel & Restaurant / Optional (city)","2019-07-15","17 EMMONS RD","Mt Crested Butte","CO",81225
"CRESTED BUTTE LLC","TRACKERS","07-74205-0017","Hotel & Restaurant (city)","2019-06-22","620 GOTHIC RD","Mt Crested Butte","CO",81225
"ALPINE CLUB AT WESTWALL LODGE LLC","ALPINE CLUB AT WESTWALL LODGE","25-61038-0000","Tavern (city)","2019-12-06","14 HUNTER HILL ROAD","Mt Crested Butte","CO",81225
"CRESTED BUTTE LLC","WOODSTONE GRILL","07-74205-0012","Hotel & Restaurant (city)","2019-10-03","6 EMMONS ROAD","Mt Crested Butte","CO",81225
"CLUB AT N D ENTERPRISES, LLC","CLUB AT CRESTED BUTTE SLOPESIDE","03-02246","Tavern (city)","2019-12-10","32 CRESTED MOUNTAIN LN, UNITS 3A,3SA,S4B,S1,S2 STES 201-208","Mt. Crested Butte","CO",81224
"CRESTED BUTTE LLC","JEFE'S","07-74205-0022","Hotel & Restaurant (city)","2019-12-01","620 GOTHIC RD UNIT C150","Mt. Crested Butte","CO",81225
"500 GOTHIC LLC","9380 PRIME","03-02211","Hotel & Restaurant (city)","2019-12-01","500 GOTHIC ROAD","Mt. Crested Butte","CO",81225
"ROCKY MOUNTAIN BAKERIES INC","BAKERY AT MTCB","25-56277-0000","Hotel & Restaurant (city)","2020-01-26","22 CRESTED MT WAY STE S-3","Mt. Crested Butte","CO",81225
"Princeton Holdings LLC","MT PRINCETON HOT SPRINGS RESORT REST","12-69493-0001","Resort Complex (county)","2019-05-03","15870 COUNTY ROAD 162","Nathrop","CO",812369703
"PRINCETON HOLDINGS LLC","MT PRINCETON HOT SPRINGS COUNTRY STORE","12-69493-02","Fermented Malt Beverage Off (county)","2019-05-31","15870 CR 162","Nathrop","CO",812369703
"4J'S & S LLC","WALKIN LIQUOR","42-55344-0000","Liquor Store (city)","2019-12-16","235 WEST MAIN STREET","Naturita","CO",81422
"141 SALOON LLC","141 SALOON","03-09953","Tavern (city)","2019-06-06","138 EAST MAIN STREET","Naturita","CO",81422
"RIMROCK HOTEL, INC.","RIMROCK HOTEL, INC.","03-06526","Hotel & Restaurant (city)","2019-06-12","123 EAST MAIN STREET","Naturita","CO",81422
"THAI RESTAURANT INC","UBON THAI CUISINE","25-59723-0000","Hotel & Restaurant (city)","2019-07-28","155 HIGHWAY 119 EAST","Nederland","CO",80466
"MARIANNE WALTER","AUGUSTINA'S WINERY","09-84455-0010","Wine Delivery Permit","2019-04-30","20 EAST LAKEVIEW DRIVE #103","Nederland","CO",80466
"ELDORA ENTERPRISES LLC","ELDORA MOUNTAIN RESORT","03-07006","Hotel & Restaurant / Optional (county)","2019-10-17","2861 ELDORA SKI ROAD #140","Nederland","CO",80466
"PIONEER INN LLC","PIONEER INN","03-10550","Tavern (city)","2019-10-02","15 EAST FIRST STREET","Nederland","CO",80466
"DB&G LLC","NED'S","07-43444-0000","Hotel & Restaurant (city)","2019-07-09","121 N JEFFERSON","NEDERLAND","CO",80466
"HEATHER HATWAN PRODUCTIONS LLC","THE BRANDING IRON","03-10363","Tavern (city)","2019-08-22","35 EAST 1ST STREET","Nederland","CO",80466
"VERY NICE BREWING COMPANY LLC","VERY NICE BREWING COMPANY LLC","14-72983-0001","Wholesale Beer (malt liquor)","2020-05-31","20 LAKEVIEW DR UNIT 112","Nederland","CO",80466
"PEAK WINE AND SPIRITS LLC","PEAK WINE AND SPIRITS","28-65427-0000","Liquor Store (city)","2019-11-23","150 N JEFFERSON ST #B2","Nederland","CO",80466
"THE CIGARETTE STORE CORP","SMOKER FRIENDLY","04-00919","Fermented Malt Beverage Off (city)","2019-10-17","22 HIGHWAY 72","Nederland","CO",80466
"CLOCK TOWER LLC","SALTO COFFEE WORKS","25-59420-0000","Beer & Wine (city)","2019-04-11","112 E 2ND ST","Nederland","CO",80466
"VERY NICE BREWING COMPANY LLC","VERY NICE BREWING COMPANY LLC","14-72983-0002","Manufacturer (brewery)","2020-05-31","20 LAKEVIEW DR UNIT 112","Nederland","CO",80466
"CROSSCUT PIZZARIA AND TAPHOUSE LLC","CROSSCUT PIZZERIA AND TAPHOUSE","03-05185","Beer & Wine (city)","2019-08-05","4 EAST 1ST STREET","Nederland","CO",80466
"BACK COUNTRY PIZZALLC","BACK COUNTRY PIZZA","42-48806-0000","Beer & Wine (city)","2019-09-23","20 EAST LAKEVIEW DR 212","NEDERLAND","CO",80466
"CARIBOU LIQUOR INC","DAM LIQUOR STORE","10-74606-0000","Liquor Store (city)","2019-06-11","20 LAKEVIEW DR #114","Nederland","CO",80466
"KATHMANDU RESTAURANT INC","KATHMANDU RESTAURANT","24-98822-0000","Hotel & Restaurant (city)","2019-05-26","110 NORTH JEFFERSON STREET","Nederland","CO",80466
"T&C LLC","JAMES PEAK BREWERY AND SMOKEHOUSE","26-67005-0000","Brew Pub (city)","2019-09-26","70 EAST FIRST ST","Nederland","CO",80466
"KWIK MART INC","KWIK MART NO 2","10-65497-0002","Fermented Malt Beverage Off (city)","2019-12-04","217 HWY 119 EAST","Nederland","CO",80466
"COMPOUND CORPORATION","THE CARIBOU ROOM","03-05445","Tavern (city)","2019-11-22","55 INDIAN PEAKS DRIVE UNIT B","Nederland","CO",80466
"MARIANNE WALTER","AUGUSTINA'S WINERY","09-84455-0000","Limited Winery","2019-04-17","20 EAST LAKEVIEW DRIVE #103","Nederland","CO",80466
"CAPITAL DELI, LLC","CAPITAL DELI AT LAKOTA","03-09889","Hotel & Restaurant (city)","2019-06-07","151 CLUBHOUSE DRIVE","New Castle","CO",81647
"LAZY BEAR RESTAURANT INC","LAZY BEAR RESTAURANT","03-05618","Hotel & Restaurant (city)","2020-02-03","285 WEST MAIN STREET","New Castle","CO",81647
"ELK CREEK MINING LLC","ELK CREEK MINING CO","26-26577-0000","Hotel & Restaurant (city)","2019-07-21","502 W MAIN","New Castle","CO",81647
"NEW CASTLE LIQUORS INC","NEW CASTLE LIQUORS","03-05761","Liquor Store (city)","2020-01-10","820 CASTLE VALLEY BOULEVARD  #104","New Castle","CO",81647
"CHAPIN DUSTIN NEFF DIANE","HOGBACK PIZZA","12-44016-0000","Beer & Wine (city)","2019-08-15","457 W MAIN ST","New Castle","CO",81647
"GROVE'S BLACK DOG SALOON INC","GROVE'S BLACK DOG SALOON","03-02204","Hotel & Restaurant (city)","2019-12-29","219 W MAIN ST","New Castle","CO",81647
"INNERMOUNTAIN DISTRIBUTING COMPANY","INNERMOUNTAIN DISTRIBUTING COMPANY","25-61025-0001","Wholesale (vinous & spirituous)","2019-10-30","6230 COUNTY ROAD 335","New Castle","CO",816479504
"LAKOTA FOOD AND BEVERAGE, LLC","LAKOTA FOOD AND BEVERAGE GOLF COURSE","03-00957","Optional Premises (city)","2019-02-24","1000 CLUBHOUSE DR","New Castle","CO",81647
"HONG NHI A","HONG'S GARDEN CHINESE RESTAURANT","26-40418-0000","Hotel & Restaurant (city)","2019-04-17","820 CASTLE VALLEY BLVD STE 106","New Castle","CO",816479480
"K2 SPIRITS INC","SPIRITS OF NEW CASTLE","07-92463-0000","Liquor Store (city)","2020-02-27","302 WEST MAIN STREET","New Castle","CO",81647
"DILLON COMPANIES LLC","CITY MARKET #41","01-10779-0153","Fermented Malt Beverage Off (city)","2019-10-29","850 CASTLE VALLEY BLVD","New Castle","CO",816479441
"FEATHER PETROLEUM CO","STOP N SAVE #12","04-41335-0018","Fermented Malt Beverage Off (city)","2020-01-21","791 BURNING MT AVE","New Castle","CO",81647
"2 CORONAS INC.","2 CORONAS","03-01962","Hotel & Restaurant (city)","2019-09-29","201 W MAIN ST","New Castle","CO",81647
"INNERMOUNTAIN DISTRIBUTING COMPANY","INNERMOUNTAIN DISTRIBUTING COMPANY","25-61025-0002","Wholesale Beer (malt liquor)","2019-10-30","6230 COUNTY ROAD 335","New Castle","CO",816479504
"FRESH DINER LLC","NEW CASTLE DINER","12-88506-0000","Hotel & Restaurant (city)","2019-09-13","820 CASTLE VALLEY BLVD STE 101","New Castle","CO",816479480
